Date,AAPL,AMZN,CVX,GOOGL,JNJ,JPM,MA,META,MSFT,NVDA,PG,QQQ,SPY,TSLA,V,WMT
2024-12-20,253.87759399414062,224.9199981689453,139.58277893066406,190.95863342285156,142.10450744628906,233.8057403564453,525.7066650390625,584.2802124023438,434.9278869628906,134.67825317382812,164.8791046142578,516.473876953125,587.6398315429688,421.05999755859375,316.6504211425781,91.76551818847656
2024-12-23,254.6557159423828,225.05999755859375,139.7000274658203,194.17103576660156,142.89141845703125,234.58311462402344,526.632568359375,598.8560180664062,433.5830383300781,139.64744567871094,164.9281463623047,521.5057373046875,591.1588134765625,430.6000061035156,316.16204833984375,89.88524627685547
2024-12-24,257.57867431640625,229.0500030517578,140.5501251220703,195.64755249023438,143.4619140625,238.44052124023438,533.3528442382812,606.742919921875,437.64739990234375,140.19737243652344,165.74244689941406,528.5772705078125,597.7294921875,462.2799987792969,319.5805969238281,92.20325469970703
2024-12-26,258.39666748046875,227.0500030517578,140.68692016601562,195.1387481689453,143.19631958007812,239.25726318359375,533.7909545898438,602.3502197265625,436.43206787109375,139.90740966796875,166.93936157226562,528.2182006835938,597.7693481445312,454.1300048828125,319.8397521972656,92.31269073486328
2024-12-27,254.9749298095703,223.75,140.7064666748047,192.30543518066406,142.6750030517578,237.31871032714844,529.8582763671875,598.8160400390625,428.881103515625,136.9878692626953,166.3212890625,521.196533203125,591.4768676757812,431.6600036621094,317.59722900390625,91.18851470947266
2024-12-30,251.59307861328125,221.3000030517578,139.79774475097656,190.78904724121094,140.9929962158203,235.49826049804688,523.2376098632812,590.26025390625,423.2029113769531,137.46780395507812,163.92745971679688,514.2646484375,584.7271728515625,417.4100036621094,314.2584228515625,90.10411071777344
2024-12-31,249.81736755371094,219.38999938964844,141.52725219726562,188.85360717773438,142.25204467773438,235.8820343017578,524.2530517578125,584.539794921875,419.88568115234375,134.26832580566406,164.4768524169922,509.8961181640625,582.5999145507812,403.8399963378906,314.9859924316406,89.88524627685547
2025-01-02,243.26319885253906,220.22000122070312,143.3544921875,188.98329162597656,141.66188049316406,236.16738891601562,520.1014404296875,598.2470703125,416.97686767578125,138.2876739501953,162.83847045898438,508.8987121582031,581.16845703125,379.2799987792969,313.3514709472656,89.53704071044922
2025-01-03,242.7743682861328,224.19000244140625,144.46841430664062,191.3377227783203,141.8291015625,239.39501953125,519.0659790039062,603.6281127929688,421.7286071777344,144.44668579101562,162.0045623779297,517.2269287109375,588.43505859375,410.44000244140625,313.8597717285156,90.31303405761719
2025-01-06,244.41041564941406,227.61000061035156,143.8918914794922,196.40576171875,141.30776977539062,238.2278594970703,509.6774597167969,629.15576171875,426.21136474609375,149.40586853027344,157.560302734375,523.1713256835938,591.8247680664062,411.04998779296875,311.9960021972656,90.95968627929688
2025-01-07,241.62713623046875,222.11000061035156,146.16860961914062,195.02902221679688,143.83567810058594,240.52259826660156,509.1498107910156,616.8661499023438,420.7523498535156,140.11737060546875,158.24705505371094,513.8357543945312,585.134765625,394.3599853515625,310.6305847167969,90.3428726196289
2025-01-08,242.11595153808594,222.1300048828125,146.8623809814453,193.49264526367188,139.94053649902344,240.48304748535156,514.1278076171875,609.7080078125,422.9339599609375,140.08738708496094,159.03192138671875,513.925537109375,585.9896850585938,394.94000244140625,311.55743408203125,91.32778930664062
2025-01-10,236.28004455566406,218.94000244140625,149.63742065429688,191.58712768554688,139.7339630126953,237.25852966308594,503.1899719238281,614.8394775390625,417.345458984375,135.88807678222656,155.55889892578125,505.8666687011719,577.0430908203125,394.739990234375,306.6837463378906,92.52161407470703
2025-01-13,233.83592224121094,218.4600067138672,151.796875,190.5595703125,142.10450744628906,241.55130004882812,503.42926025390625,607.3219604492188,415.5921936035156,133.20849609375,155.8336181640625,504.2408752441406,577.937744140625,403.30999755859375,305.89642333984375,91.05917358398438
2025-01-14,232.71861267089844,217.75999450683594,153.31141662597656,189.2127685546875,142.37991333007812,244.77578735351562,507.5272216796875,593.2652587890625,414.0780334472656,131.7387237548828,156.71656799316406,503.76214599609375,578.7329711914062,396.3599853515625,308.05914306640625,90.32298278808594
2025-01-15,237.2975616455078,223.35000610351562,154.70872497558594,195.0888671875,142.59632873535156,249.60267639160156,520.8180541992188,616.0973510742188,424.67724609375,136.218017578125,156.62828063964844,515.351806640625,589.2601318359375,428.2200012207031,315.22515869140625,90.87014770507812
2025-01-16,227.710693359375,220.66000366210938,155.73471069335938,192.45509338378906,145.35047912597656,251.50177001953125,521.6058349609375,610.2870483398438,422.953857421875,133.54844665527344,157.46218872070312,511.7413024902344,588.1268920898438,413.82000732421875,316.19195556640625,90.83036041259766
2025-01-17,229.4265594482422,225.94000244140625,157.7769012451172,195.53781127929688,144.62258911132812,256.3385314941406,523.1611938476562,611.754638671875,427.3868408203125,137.68777465820312,158.0802764892578,520.378662109375,594.0316162109375,426.5,318.5540466308594,91.4670639038086
2025-01-21,222.10421752929688,230.7100067138672,154.62078857421875,197.58297729492188,145.7242431640625,260.1663818359375,526.5113525390625,615.4385375976562,426.85888671875,140.80726623535156,158.6591033935547,523.4307250976562,599.4691162109375,424.07000732421875,322.5506591796875,92.60120391845703
2025-01-22,223.29136657714844,235.00999450683594,152.83262634277344,197.9022216796875,142.89141845703125,259.97845458984375,525.6339111328125,622.4668579101562,444.4910888671875,147.04627990722656,161.6219482421875,530.1231689453125,602.8389892578125,415.1099853515625,322.48089599609375,92.75043487548828
2025-01-23,223.1217803955078,235.4199981689453,152.4417724609375,197.5131378173828,144.23898315429688,263.0545959472656,532.6532592773438,635.3953857421875,444.9991149902344,147.1962432861328,163.0052490234375,531.250244140625,606.1293334960938,412.3800048828125,327.1153869628906,93.32744598388672
2025-01-24,222.24388122558594,234.85000610351562,152.08999633789062,199.73788452148438,144.41603088378906,261.9566955566406,531.9254150390625,646.4171142578125,442.3592834472656,142.5969696044922,161.9954833984375,528.2481079101562,604.35986328125,406.5799865722656,329.0987548828125,94.27256774902344
2025-01-27,229.30685424804688,235.4199981689453,153.6338653564453,191.35769653320312,150.3866424560547,262.9556884765625,546.033935546875,658.7865600585938,432.8956604003906,118.40088653564453,167.4637908935547,512.8683471679688,595.81103515625,397.1499938964844,333.4242858886719,96.89897918701172
2025-01-28,237.68663024902344,238.14999389648438,152.63720703125,194.83946228027344,147.91773986816406,264.2316589355469,545.7547607421875,673.212646484375,445.4872741699219,128.9691925048828,164.03871154785156,520.448486328125,600.930419921875,398.0899963378906,333.364501953125,96.78955078125
2025-01-29,238.7839813232422,237.07000732421875,152.1291046142578,194.94920349121094,148.6751251220703,263.677734375,547.1905517578125,675.3690185546875,440.6358947753906,123.6800308227539,164.07818603515625,519.4710693359375,598.2365112304688,389.1000061035156,334.75982666015625,96.99845886230469
2025-01-30,237.0182342529297,234.63999938964844,152.74468994140625,200.39633178710938,150.36697387695312,265.3097839355469,564.35009765625,685.8616333007812,413.4006042480469,124.62987518310547,165.24290466308594,521.6852416992188,601.4473266601562,400.2799987792969,341.9058837890625,98.1425552368164
2025-01-31,235.4320831298828,237.67999267578125,145.77777099609375,203.5388946533203,149.65875244140625,264.389892578125,553.8010864257812,688.0380249023438,413.4703369140625,120.05062103271484,163.84129333496094,520.92724609375,598.2464599609375,404.6000061035156,340.6600646972656,97.65507507324219
2025-02-03,227.46128845214844,237.4199981689453,145.92433166503906,200.75546264648438,149.38333129882812,263.9052429199219,562.296142578125,696.3042602539062,409.3462219238281,116.64117431640625,166.57542419433594,516.7581176757812,594.2205200195312,383.67999267578125,344.66668701171875,99.02796936035156
2025-02-04,232.23977661132812,242.05999755859375,149.71559143066406,205.89334106445312,150.97682189941406,265.02294921875,557.4703369140625,703.0231323242188,410.7906494140625,118.63085174560547,165.95358276367188,523.1015625,598.2066650390625,392.2099914550781,343.9989013671875,100.25164794921875
2025-02-05,231.91058349609375,236.1699981689453,149.49085998535156,190.8788299560547,152.15716552734375,267.4858093261719,564.6292114257812,703.7020263671875,411.7071228027344,124.80985260009766,166.8221893310547,525.475341796875,600.6321411132812,378.1700134277344,348.27459716796875,101.93294525146484
2025-02-06,232.6587677001953,238.8300018310547,148.42578125,191.148193359375,150.99647521972656,273.8853759765625,565.4967041015625,710.8101806640625,414.2274475097656,128.65921020507812,166.6938934326172,528.2182006835938,602.7197265625,374.32000732421875,346.3211364746094,102.3209457397461
2025-02-07,227.08221435546875,229.14999389648438,149.12930297851562,184.90293884277344,150.6128692626953,272.79736328125,561.099609375,713.3359985351562,408.1806945800781,129.81903076171875,165.795654296875,521.5556030273438,597.2026977539062,361.6199951171875,346.85931396484375,100.62968444824219
2025-02-10,227.3518524169922,233.13999938964844,152.207275390625,186.03028869628906,151.7145538330078,268.0892028808594,563.8316040039062,716.2112426757812,410.6412048339844,133.54844665527344,165.36135864257812,527.8690795898438,601.2584228515625,350.7300109863281,350.05865478515625,102.39058685302734
2025-02-11,232.3153533935547,232.75999450683594,153.83908081054688,184.8830108642578,153.57359313964844,271.9961853027344,563.0439453125,718.6072387695312,409.86419677734375,132.77857971191406,167.2367401123047,526.6123657226562,601.7157592773438,328.5,350.13848876953125,101.94290161132812
2025-02-12,236.55978393554688,228.92999267578125,151.35716247558594,183.17701721191406,152.71783447265625,272.4512023925781,562.9441528320312,724.1780395507812,407.473388671875,131.11883544921875,167.3848114013672,526.9215087890625,599.7772827148438,336.510009765625,350.9072265625,103.07704162597656
